month,town,flat_type,resale_price,
2017-01,TAMPINES,2 ROOM,250000,
2017-01,TAMPINES,3 ROOM,270000,
2017-01,TAMPINES,3 ROOM,295000,
2017-01,TAMPINES,3 ROOM,300000,
2017-01,TAMPINES,3 ROOM,305000,
2017-01,TAMPINES,3 ROOM,308000,
2017-01,TAMPINES,3 ROOM,315000,
2017-01,TAMPINES,3 ROOM,318500,
2017-01,TAMPINES,3 ROOM,320000,
2017-01,TAMPINES,3 ROOM,323000,
2017-01,TAMPINES,3 ROOM,325000,
2017-01,TAMPINES,3 ROOM,328000,
2017-01,TAMPINES,3 ROOM,329000,
2017-01,TAMPINES,3 ROOM,333000,
2017-01,TAMPINES,3 ROOM,337000,
2017-01,TAMPINES,3 ROOM,345000,
2017-01,TAMPINES,3 ROOM,345000,
2017-01,TAMPINES,3 ROOM,345000,
2017-01,TAMPINES,3 ROOM,350000,
2017-01,TAMPINES,3 ROOM,350000,
2017-01,TAMPINES,3 ROOM,355000,
2017-01,TAMPINES,3 ROOM,355000,
2017-01,TAMPINES,4 ROOM,370000,
2017-01,TAMPINES,4 ROOM,385000,
2017-01,TAMPINES,4 ROOM,394000,
2017-01,TAMPINES,4 ROOM,395000,
2017-01,TAMPINES,4 ROOM,398000,
2017-01,TAMPINES,4 ROOM,400000,
2017-01,TAMPINES,4 ROOM,408000,
2017-01,TAMPINES,4 ROOM,408000,
2017-01,TAMPINES,4 ROOM,412000,
2017-01,TAMPINES,4 ROOM,413888,
2017-01,TAMPINES,4 ROOM,415000,
2017-01,TAMPINES,4 ROOM,416800,
2017-01,TAMPINES,4 ROOM,418000,
2017-01,TAMPINES,4 ROOM,420000,
2017-01,TAMPINES,4 ROOM,420000,
2017-01,TAMPINES,4 ROOM,420000,
2017-01,TAMPINES,4 ROOM,420000,
2017-01,TAMPINES,4 ROOM,423000,
2017-01,TAMPINES,4 ROOM,423000,
2017-01,TAMPINES,4 ROOM,428000,
2017-01,TAMPINES,4 ROOM,430000,
2017-01,TAMPINES,4 ROOM,430000,
2017-01,TAMPINES,4 ROOM,430000,
2017-01,TAMPINES,4 ROOM,435000,
2017-01,TAMPINES,4 ROOM,440000,
2017-01,TAMPINES,4 ROOM,440288,
2017-01,TAMPINES,4 ROOM,442000,
2017-01,TAMPINES,4 ROOM,443000,
2017-01,TAMPINES,4 ROOM,450000,
2017-01,TAMPINES,4 ROOM,450000,
2017-01,TAMPINES,4 ROOM,500000,
2017-01,TAMPINES,4 ROOM,510000,
2017-01,TAMPINES,5 ROOM,450000,
2017-01,TAMPINES,5 ROOM,455000,
2017-01,TAMPINES,5 ROOM,480000,
2017-01,TAMPINES,5 ROOM,490000,
2017-01,TAMPINES,5 ROOM,492000,
2017-01,TAMPINES,5 ROOM,495000,
2017-01,TAMPINES,5 ROOM,505000,
2017-01,TAMPINES,5 ROOM,505000,
2017-01,TAMPINES,5 ROOM,530000,
2017-01,TAMPINES,5 ROOM,540000,
2017-01,TAMPINES,5 ROOM,550000,
2017-01,TAMPINES,5 ROOM,550000,
2017-01,TAMPINES,5 ROOM,550000,
2017-01,TAMPINES,5 ROOM,555000,
2017-01,TAMPINES,5 ROOM,570000,
2017-01,TAMPINES,5 ROOM,570000,
2017-01,TAMPINES,5 ROOM,575000,
2017-01,TAMPINES,5 ROOM,608000,
2017-01,TAMPINES,5 ROOM,730000,
2017-01,TAMPINES,5 ROOM,730000,
2017-01,TAMPINES,EXECUTIVE,578000,
2017-01,TAMPINES,EXECUTIVE,600000,
2017-01,TAMPINES,EXECUTIVE,600000,
2017-01,TAMPINES,EXECUTIVE,618888,
2017-01,TAMPINES,EXECUTIVE,625000,
2017-01,TAMPINES,EXECUTIVE,698000,
2017-01,TAMPINES,EXECUTIVE,702000,
2017-01,TAMPINES,EXECUTIVE,830000,
2017-07,TAMPINES,3 ROOM,293000,
2017-07,TAMPINES,3 ROOM,298000,
2017-07,TAMPINES,3 ROOM,302000,
2017-07,TAMPINES,3 ROOM,303000,
2017-07,TAMPINES,3 ROOM,305000,
2017-07,TAMPINES,3 ROOM,308000,
2017-07,TAMPINES,3 ROOM,308000,
2017-07,TAMPINES,3 ROOM,310000,
2017-07,TAMPINES,3 ROOM,310000,
2017-07,TAMPINES,3 ROOM,310000,
2017-07,TAMPINES,3 ROOM,313800,
2017-07,TAMPINES,3 ROOM,315000,
2017-07,TAMPINES,3 ROOM,315000,
2017-07,TAMPINES,3 ROOM,320000,
2017-07,TAMPINES,3 ROOM,325000,
2017-07,TAMPINES,3 ROOM,338000,
2017-07,TAMPINES,3 ROOM,348000,
2017-07,TAMPINES,3 ROOM,360000,
2017-07,TAMPINES,3 ROOM,365000,
2017-07,TAMPINES,3 ROOM,375000,
2017-07,TAMPINES,3 ROOM,385000,
2017-07,TAMPINES,3 ROOM,395000,
2017-07,TAMPINES,4 ROOM,378000,
2017-07,TAMPINES,4 ROOM,385000,
2017-07,TAMPINES,4 ROOM,385000,
2017-07,TAMPINES,4 ROOM,388000,
2017-07,TAMPINES,4 ROOM,390000,
2017-07,TAMPINES,4 ROOM,390000,
2017-07,TAMPINES,4 ROOM,390000,
2017-07,TAMPINES,4 ROOM,395000,
2017-07,TAMPINES,4 ROOM,395000,
2017-07,TAMPINES,4 ROOM,400000,
2017-07,TAMPINES,4 ROOM,403000,
2017-07,TAMPINES,4 ROOM,405000,
2017-07,TAMPINES,4 ROOM,405000,
2017-07,TAMPINES,4 ROOM,410000,
2017-07,TAMPINES,4 ROOM,410000,
2017-07,TAMPINES,4 ROOM,410000,
2017-07,TAMPINES,4 ROOM,410000,
2017-07,TAMPINES,4 ROOM,410000,
2017-07,TAMPINES,4 ROOM,420000,
2017-07,TAMPINES,4 ROOM,420000,
2017-07,TAMPINES,4 ROOM,425000,
2017-07,TAMPINES,4 ROOM,425000,
2017-07,TAMPINES,4 ROOM,425000,
2017-07,TAMPINES,4 ROOM,425000,
2017-07,TAMPINES,4 ROOM,425000,
2017-07,TAMPINES,4 ROOM,425000,
2017-07,TAMPINES,4 ROOM,426000,
2017-07,TAMPINES,4 ROOM,430000,
2017-07,TAMPINES,4 ROOM,430000,
2017-07,TAMPINES,4 ROOM,438000,
2017-07,TAMPINES,4 ROOM,438888,
2017-07,TAMPINES,4 ROOM,455000,
2017-07,TAMPINES,4 ROOM,455000,
2017-07,TAMPINES,4 ROOM,460000,
2017-07,TAMPINES,4 ROOM,460000,
2017-07,TAMPINES,4 ROOM,460000,
2017-07,TAMPINES,4 ROOM,463000,
2017-07,TAMPINES,4 ROOM,465000,
2017-07,TAMPINES,4 ROOM,468000,
2017-07,TAMPINES,4 ROOM,472000,
2017-07,TAMPINES,4 ROOM,477500,
2017-07,TAMPINES,4 ROOM,480000,
2017-07,TAMPINES,4 ROOM,483000,
2017-07,TAMPINES,4 ROOM,500000,
2017-07,TAMPINES,4 ROOM,508000,
2017-07,TAMPINES,4 ROOM,515000,
2017-07,TAMPINES,4 ROOM,570000,
2017-07,TAMPINES,4 ROOM,468000,
2017-07,TAMPINES,5 ROOM,445000,
2017-07,TAMPINES,5 ROOM,450000,
2017-07,TAMPINES,5 ROOM,460000,
2017-07,TAMPINES,5 ROOM,470000,
2017-07,TAMPINES,5 ROOM,489000,
2017-07,TAMPINES,5 ROOM,500000,
2017-07,TAMPINES,5 ROOM,505000,
2017-07,TAMPINES,5 ROOM,505000,
2017-07,TAMPINES,5 ROOM,510000,
2017-07,TAMPINES,5 ROOM,513000,
2017-07,TAMPINES,5 ROOM,523000,
2017-07,TAMPINES,5 ROOM,530000,
2017-07,TAMPINES,5 ROOM,538000,
2017-07,TAMPINES,5 ROOM,550000,
2017-07,TAMPINES,5 ROOM,559000,
2017-07,TAMPINES,5 ROOM,568000,
2017-07,TAMPINES,5 ROOM,575000,
2017-07,TAMPINES,5 ROOM,575000,
2017-07,TAMPINES,5 ROOM,582500,
2017-07,TAMPINES,5 ROOM,645000,
2017-07,TAMPINES,5 ROOM,650000,
2017-07,TAMPINES,5 ROOM,658888,
2017-07,TAMPINES,EXECUTIVE,585000,
2017-07,TAMPINES,EXECUTIVE,590000,
2017-07,TAMPINES,EXECUTIVE,598000,
2017-07,TAMPINES,EXECUTIVE,600000,
2017-07,TAMPINES,EXECUTIVE,615000,
2017-07,TAMPINES,EXECUTIVE,640000,
2017-07,TAMPINES,EXECUTIVE,640000,
2017-07,TAMPINES,EXECUTIVE,655000,
2017-07,TAMPINES,EXECUTIVE,660000,
2017-07,TAMPINES,EXECUTIVE,665000,
2017-07,TAMPINES,EXECUTIVE,680000,
2017-07,TAMPINES,EXECUTIVE,700000,
2017-07,TAMPINES,EXECUTIVE,710000,
2017-07,TAMPINES,EXECUTIVE,735000,
2017-07,TAMPINES,EXECUTIVE,740000,
2017-07,TAMPINES,EXECUTIVE,750000,
2018-01,TAMPINES,3 ROOM,295000,
2018-01,TAMPINES,3 ROOM,315000,
2018-01,TAMPINES,3 ROOM,330000,
2018-01,TAMPINES,3 ROOM,330000,
2018-01,TAMPINES,3 ROOM,330000,
2018-01,TAMPINES,3 ROOM,350000,
2018-01,TAMPINES,4 ROOM,333000,
2018-01,TAMPINES,4 ROOM,368000,
2018-01,TAMPINES,4 ROOM,380000,
2018-01,TAMPINES,4 ROOM,385000,
2018-01,TAMPINES,4 ROOM,398888,
2018-01,TAMPINES,4 ROOM,410000,
2018-01,TAMPINES,4 ROOM,420000,
2018-01,TAMPINES,4 ROOM,420000,
2018-01,TAMPINES,4 ROOM,420000,
2018-01,TAMPINES,4 ROOM,430000,
2018-01,TAMPINES,4 ROOM,435000,
2018-01,TAMPINES,4 ROOM,440000,
2018-01,TAMPINES,4 ROOM,440000,
2018-01,TAMPINES,4 ROOM,440000,
2018-01,TAMPINES,4 ROOM,450000,
2018-01,TAMPINES,4 ROOM,450000,
2018-01,TAMPINES,4 ROOM,457000,
2018-01,TAMPINES,4 ROOM,459000,
2018-01,TAMPINES,4 ROOM,460000,
2018-01,TAMPINES,4 ROOM,465000,
